model,seed,interval_ms,initial,early_mean,late_mean,decrement_fraction,h1_screen,plateau_screen,probe_2000,probe_to_initial_2000,exploratory_recovered_loss_fraction_2000,probe_10000,probe_to_initial_10000,exploratory_recovered_loss_fraction_10000,h2_screen
static,1701,500.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1701,2000.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1702,500.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1702,2000.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1703,500.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1703,2000.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1704,500.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1704,2000.0,10.0,10.0,10.0,0.0,False,True,10.0,1.0,,10.0,1.0,,False
static,1705,500.0,9.0,9.0,9.0,0.0,False,True,9.0,1.0,,9.0,1.0,,False
static,1705,2000.0,9.0,9.0,9.0,0.0,False,True,9.0,1.0,,9.0,1.0,,False
std,1701,500.0,8.0,5.333333333333333,1.0,0.8125,True,True,6.0,0.75,0.7142857142857143,9.0,1.125,1.1428571428571428,True
std,1701,2000.0,8.0,7.333333333333333,6.0,0.18181818181818177,False,True,6.0,0.75,0.0,8.0,1.0,1.0,False
std,1702,500.0,9.0,6.0,0.0,1.0,True,True,6.0,0.6666666666666666,0.6666666666666666,9.0,1.0,1.0,True
std,1702,2000.0,9.0,8.0,7.0,0.125,False,True,7.0,0.7777777777777778,0.0,9.0,1.0,1.0,False
std,1703,500.0,8.0,4.666666666666667,0.0,1.0,True,True,5.0,0.625,0.625,8.0,1.0,1.0,True
std,1703,2000.0,8.0,6.666666666666667,6.0,0.10000000000000009,False,False,6.0,0.75,0.0,9.0,1.125,1.5,False
std,1704,500.0,8.0,5.666666666666667,1.0,0.8235294117647058,True,True,5.0,0.625,0.5714285714285714,8.0,1.0,1.0,True
std,1704,2000.0,8.0,7.666666666666667,7.0,0.08695652173913049,False,True,7.0,0.875,0.0,8.0,1.0,1.0,False
std,1705,500.0,8.0,5.333333333333333,0.6666666666666666,0.875,True,True,5.0,0.625,0.5909090909090909,7.0,0.875,0.8636363636363636,True
std,1705,2000.0,8.0,7.0,7.0,0.0,False,True,6.0,0.75,-1.0,7.0,0.875,0.0,False
