seed,kind,case,phase,block,pulse,rest_ms,label,input_hz,onset_s,duration_ms,input_events,stimulus_spikes,sensory_A,total_spikes,noninput_spikes,resource_before,resource_after,event_file,aBN1,aDN1,aDN2
3701,response,frequency24,train,1,0,0.0,A,150.0,0.0,300.0,2194,2160,2160,2899,739,1.0,0.7607441199508813,events_00000.parquet,8,1,2
3701,response,frequency24,train,1,1,0.0,A,150.0,0.75,300.0,2194,2160,2160,2709,549,0.8089502993472306,0.6404703511090493,events_00002.parquet,6,0,0
3701,response,frequency24,train,1,2,0.0,A,150.0,1.5,300.0,2194,2160,2160,2614,454,0.7129097442357117,0.579844832345703,events_00004.parquet,4,0,0
3701,response,frequency24,train,1,3,0.0,A,150.0,2.25,300.0,2194,2160,2160,2577,417,0.6644992842324787,0.5492038440053151,events_00006.parquet,3,0,0
3701,response,frequency24,train,1,4,0.0,A,150.0,3.0,300.0,2194,2160,2160,2557,397,0.6400319580838619,0.5336765091084626,events_00008.parquet,2,0,0
3701,response,frequency24,train,1,5,0.0,A,150.0,3.75,300.0,2194,2160,2160,2552,392,0.6276331293346168,0.5257875471950321,events_00010.parquet,2,0,0
3701,response,frequency24,train,1,6,0.0,A,150.0,4.5,300.0,2194,2160,2160,2557,397,0.6213336652975674,0.5217691612917179,events_00012.parquet,2,0,0
3701,response,frequency24,train,1,7,0.0,A,150.0,5.25,300.0,2194,2160,2160,2551,391,0.6181249189805371,0.5197171927004275,events_00014.parquet,2,0,0
3701,response,frequency24,train,1,8,0.0,A,150.0,6.0,300.0,2194,2160,2160,2532,372,0.6164863887800068,0.5186667940291474,events_00016.parquet,2,0,0
3701,response,frequency24,train,1,9,0.0,A,150.0,6.75,300.0,2194,2160,2160,2544,384,0.6156476284048265,0.5181278073467707,events_00018.parquet,2,0,0
3701,response,frequency24,train,1,10,0.0,A,150.0,7.5,300.0,2194,2160,2160,2543,383,0.6152172387972533,0.5178505918341271,events_00020.parquet,2,0,0
3701,response,frequency24,train,1,11,0.0,A,150.0,8.25,300.0,2194,2160,2160,2542,382,0.6149958777143157,0.5177076868839282,events_00022.parquet,2,0,0
3701,response,frequency24,train,1,12,0.0,A,150.0,9.0,300.0,2194,2160,2160,2542,382,0.6148817657938407,0.5176338554120475,events_00024.parquet,2,0,0
3701,response,frequency24,train,1,13,0.0,A,150.0,9.75,300.0,2194,2160,2160,2542,382,0.6148228101660891,0.5175956280452275,events_00026.parquet,2,0,0
3701,response,frequency24,train,1,14,0.0,A,150.0,10.5,300.0,2194,2160,2160,2542,382,0.6147922849936829,0.5175757936050102,events_00028.parquet,2,0,0
3701,response,frequency24,train,1,15,0.0,A,150.0,11.25,300.0,2194,2160,2160,2542,382,0.6147764468714791,0.5175654813775906,events_00030.parquet,2,0,0
3701,response,frequency24,train,1,16,0.0,A,150.0,12.0,300.0,2194,2160,2160,2542,382,0.6147682123906334,0.5175601092472581,events_00032.parquet,2,0,0
3701,response,frequency24,train,1,17,0.0,A,150.0,12.75,300.0,2194,2160,2160,2542,382,0.6147639226574336,0.5175573052532842,events_00034.parquet,2,0,0
3701,response,frequency24,train,1,18,0.0,A,150.0,13.5,300.0,2194,2160,2160,2542,382,0.6147616836227682,0.5175558389644501,events_00036.parquet,2,0,0
3701,response,frequency24,train,1,19,0.0,A,150.0,14.25,300.0,2194,2160,2160,2542,382,0.6147605127673527,0.5175550708076345,events_00038.parquet,2,0,0
3701,response,frequency24,train,1,20,0.0,A,150.0,15.0,300.0,2194,2160,2160,2542,382,0.6147598993816769,0.51755466767797,events_00040.parquet,2,0,0
3701,response,frequency24,train,1,21,0.0,A,150.0,15.75,300.0,2194,2160,2160,2542,382,0.6147595774761014,0.517554455753369,events_00042.parquet,2,0,0
