seed,case,rest_ms,aBN1,F,relative_initial,initial,late
3701,fast12,200.0,0,0.0,0.0,8.0,0.0
3701,fast12,500.0,1,0.125,0.125,8.0,0.0
3701,fast12,1000.0,3,0.375,0.375,8.0,0.0
3701,fast12,2000.0,6,0.75,0.75,8.0,0.0
3701,fast12,5000.0,8,1.0,1.0,8.0,0.0
3701,slow12,200.0,2,-0.2,0.25,8.0,3.0
3701,slow12,500.0,3,0.0,0.375,8.0,3.0
3701,slow12,1000.0,4,0.2,0.5,8.0,3.0
3701,slow12,2000.0,6,0.6,0.75,8.0,3.0
3701,slow12,5000.0,8,1.0,1.0,8.0,3.0
3701,fast24,200.0,0,0.0,0.0,8.0,0.0
3701,fast24,500.0,1,0.125,0.125,8.0,0.0
3701,fast24,1000.0,3,0.375,0.375,8.0,0.0
3701,fast24,2000.0,6,0.75,0.75,8.0,0.0
3701,fast24,5000.0,8,1.0,1.0,8.0,0.0
3702,fast12,200.0,0,-0.038461538461538464,0.0,9.0,0.3333333333333333
3702,fast12,500.0,2,0.19230769230769232,0.2222222222222222,9.0,0.3333333333333333
3702,fast12,1000.0,3,0.3076923076923077,0.3333333333333333,9.0,0.3333333333333333
3702,fast12,2000.0,6,0.653846153846154,0.6666666666666666,9.0,0.3333333333333333
3702,fast12,5000.0,8,0.8846153846153847,0.8888888888888888,9.0,0.3333333333333333
3702,slow12,200.0,3,-0.2,0.3333333333333333,9.0,4.0
3702,slow12,500.0,3,-0.2,0.3333333333333333,9.0,4.0
3702,slow12,1000.0,4,0.0,0.4444444444444444,9.0,4.0
3702,slow12,2000.0,7,0.6,0.7777777777777778,9.0,4.0
3702,slow12,5000.0,9,1.0,1.0,9.0,4.0
3702,fast24,200.0,0,0.0,0.0,9.0,0.0
3702,fast24,500.0,2,0.2222222222222222,0.2222222222222222,9.0,0.0
3702,fast24,1000.0,3,0.3333333333333333,0.3333333333333333,9.0,0.0
3702,fast24,2000.0,6,0.6666666666666666,0.6666666666666666,9.0,0.0
3702,fast24,5000.0,8,0.8888888888888888,0.8888888888888888,9.0,0.0
3703,fast12,200.0,0,0.0,0.0,8.0,0.0
3703,fast12,500.0,1,0.125,0.125,8.0,0.0
3703,fast12,1000.0,3,0.375,0.375,8.0,0.0
3703,fast12,2000.0,5,0.625,0.625,8.0,0.0
3703,fast12,5000.0,8,1.0,1.0,8.0,0.0
3703,slow12,200.0,1,-0.75,0.125,8.0,4.0
3703,slow12,500.0,3,-0.25,0.375,8.0,4.0
3703,slow12,1000.0,4,0.0,0.5,8.0,4.0
3703,slow12,2000.0,6,0.5,0.75,8.0,4.0
3703,slow12,5000.0,7,0.75,0.875,8.0,4.0
3703,fast24,200.0,0,0.0,0.0,8.0,0.0
3703,fast24,500.0,1,0.125,0.125,8.0,0.0
3703,fast24,1000.0,3,0.375,0.375,8.0,0.0
3703,fast24,2000.0,5,0.625,0.625,8.0,0.0
3703,fast24,5000.0,8,1.0,1.0,8.0,0.0
