seed,kind,case,phase,block,pulse,rest_ms,label,input_hz,onset_s,duration_ms,input_events,stimulus_spikes,sensory_A,total_spikes,noninput_spikes,resource_before,resource_after,event_file,aBN1,aDN1,aDN2
3701,response,fast12,train,1,0,0.0,A,150.0,0.0,300.0,2194,2160,2160,2899,739,1.0,0.7607441199508813,events_00000.parquet,8,1,2
3701,response,fast12,train,1,1,0.0,A,150.0,0.5,300.0,2194,2160,2160,2704,544,0.7835123272464342,0.6244560848432423,events_00002.parquet,6,0,0
3701,response,fast12,train,1,2,0.0,A,150.0,1.0,300.0,2194,2160,2160,2575,415,0.6601938134504438,0.5466113778512262,events_00004.parquet,3,0,0
3701,response,fast12,train,1,3,0.0,A,150.0,1.5,300.0,2194,2160,2160,2527,367,0.5897570097680223,0.5020290028805454,events_00006.parquet,2,0,0
3701,response,fast12,train,1,4,0.0,A,150.0,2.0,300.0,2194,2160,2160,2499,339,0.5494172087096404,0.4764287555588204,events_00008.parquet,1,0,0
3701,response,fast12,train,1,5,0.0,A,150.0,2.5,300.0,2194,2160,2160,2486,326,0.5262531470219688,0.4616902343557166,events_00010.parquet,0,0,0
3701,response,fast12,train,1,6,0.0,A,150.0,3.0,300.0,2194,2160,2160,2478,318,0.5129171815508842,0.4531833113316447,events_00012.parquet,1,0,0
3701,response,fast12,train,1,7,0.0,A,150.0,3.5,300.0,2194,2160,2160,2471,311,0.5052197992863523,0.4482608945740016,events_00014.parquet,0,0,0
3701,response,fast12,train,1,8,0.0,A,150.0,4.0,300.0,2194,2160,2160,2468,308,0.5007658124168696,0.4454056149532236,events_00016.parquet,0,0,0
3701,response,fast12,train,1,9,0.0,A,150.0,4.5,300.0,2194,2160,2160,2475,315,0.4981822485770341,0.4437454190928241,events_00018.parquet,0,0,0
3701,response,fast12,train,1,10,0.0,A,150.0,5.0,300.0,2194,2160,2160,2472,312,0.4966800412412763,0.4427778418805694,events_00020.parquet,0,0,0
3701,response,fast12,train,1,11,0.0,A,150.0,5.5,300.0,2194,2160,2160,2467,307,0.4958045411747893,0.4422126418384468,events_00022.parquet,0,0,0
3701,response,fast12,recovery,0,-1,200.0,A,150.0,6.0,300.0,2194,2160,2160,2469,309,0.4952931270280012,0.4418817521378727,events_00024.parquet,0,0,0
3701,response,fast12,recovery,0,-1,500.0,A,150.0,6.3,300.0,2194,2160,2160,2509,349,0.5655947686764523,0.4862967365924441,events_00026.parquet,1,0,0
3701,response,fast12,recovery,0,-1,1000.0,A,150.0,6.8,300.0,2194,2160,2160,2583,423,0.6616848656749063,0.5470042828794324,events_00028.parquet,3,0,0
3701,response,fast12,recovery,0,-1,2000.0,A,150.0,7.8,300.0,2194,2160,2160,2701,541,0.7948014983870327,0.6311043555650645,events_00030.parquet,6,0,1
3701,response,fast12,recovery,0,-1,5000.0,A,150.0,10.8,300.0,2194,2160,2160,2865,705,0.9542140254728808,0.7318175785618695,events_00032.parquet,8,0,2
3701,response,h3,train,2,0,0.0,A,150.0,15.8,300.0,2194,2160,2160,2914,754,0.9962416583439476,0.7583696848407702,events_00034.parquet,8,0,2
3701,response,h3,train,2,1,0.0,A,150.0,16.3,300.0,2194,2160,2160,2705,545,0.7813638495121072,0.6230950842688012,events_00036.parquet,6,0,0
3701,response,h3,train,2,2,0.0,A,150.0,16.8,300.0,2194,2160,2160,2558,398,0.6589623292047211,0.5458292044060844,events_00038.parquet,2,0,0
3701,response,h3,train,2,3,0.0,A,150.0,17.3,300.0,2194,2160,2160,2521,361,0.5890492699674638,0.5015783150548261,events_00040.parquet,1,0,0
3701,response,h3,train,2,4,0.0,A,150.0,17.8,300.0,2194,2160,2160,2493,333,0.5490094095010761,0.4761684065095089,events_00042.parquet,0,0,0
3701,response,h3,train,2,5,0.0,A,150.0,18.3,300.0,2194,2160,2160,2486,326,0.5260175734604016,0.4615394621013299,events_00044.parquet,0,0,0
3701,response,h3,train,2,6,0.0,A,150.0,18.8,300.0,2194,2160,2160,2478,318,0.5127807571735132,0.45309578299115,events_00046.parquet,1,0,0
3701,response,h3,train,2,7,0.0,A,150.0,19.3,300.0,2194,2160,2160,2471,311,0.5051406003687339,0.4482099599214637,events_00048.parquet,0,0,0
