seed,hallmark,B,eligible,A_naive,A_sham,B_naive,B_trained,B_retention,supported,A_after_B,trained_gain,naive_gain,gain_interaction,B_naive_noninput_spikes,B_trained_noninput_spikes,blank_aBN1,extent_enhancement,speed_enhancement,median_fraction_advantage,fast_half_interval,slow_half_interval,fast_80_interval,slow_80_interval,opposite_screen,absolute_80_high_faster,absolute_80_low_faster,normalization_conflict,D_150,D_200,weak_minus_strong_D,lower_probe_points,half_recovery_delayed,probe_differences_24_minus_12,initial_by_cycle,early_by_cycle,D_by_cycle,half_trial_own_baseline,half_trial_common_baseline,early_count_enhancement,common_baseline_speed_enhancement
3701,H7,neu_JON_F,False,8.0,2.0,0.0,0.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,H8,neu_JON_F,True,8.0,2.0,,,,False,2.0,0.0,0.0,0.0,190.0,190.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3701,H7,neu_JON_D_m,False,8.0,2.0,0.0,0.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3701,H8,neu_JON_D_m,True,8.0,2.0,,,,False,2.0,0.0,0.0,0.0,292.0,292.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3702,H7,neu_JON_F,False,9.0,3.0,0.0,0.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,H8,neu_JON_F,True,9.0,3.0,,,,False,3.0,0.0,0.0,0.0,172.0,172.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3702,H7,neu_JON_D_m,False,9.0,3.0,0.0,0.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3702,H8,neu_JON_D_m,True,9.0,3.0,,,,False,3.0,0.0,0.0,0.0,231.0,231.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3703,H7,neu_JON_F,False,8.0,1.0,0.0,0.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,H8,neu_JON_F,True,8.0,1.0,,,,False,1.0,0.0,0.0,0.0,165.0,165.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3703,H7,neu_JON_D_m,False,8.0,1.0,0.0,0.0,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3703,H8,neu_JON_D_m,True,8.0,1.0,,,,False,1.0,0.0,0.0,0.0,240.0,240.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
3701,H3,,True,,,,,,False,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,
3701,H4b,,False,,,,,,False,,,,,,,,,,,"{'lower_ms': 1000.0, 'upper_ms': 2000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 1000.0, 'upper_ms': 2000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 2000.0, 'upper_ms': 5000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 2000.0, 'upper_ms': 5000.0, 'monotone': True, 'status': 'crossed'}",False,False,False,False,,,,,,,,,,,,,
3701,H5,,True,,,,,,True,,,,,,,,,,,,,,,,,,,1.0,0.8333333333333334,0.16666666666666663,,,,,,,,,,
3701,H6,,True,,,,,,False,,,,,,,,,,,,,,,,,,,,,,0.0,False,"[0, 0, 0, 0, 0]",,,,,,,
3702,H3,,True,,,,,,False,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,
3702,H4b,,True,,,,,,False,,,,,,,,,,0.3076923076923077,"{'lower_ms': 1000.0, 'upper_ms': 2000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 1000.0, 'upper_ms': 2000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 2000.0, 'upper_ms': 5000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 2000.0, 'upper_ms': 5000.0, 'monotone': True, 'status': 'crossed'}",False,False,False,False,,,,,,,,,,,,,
3702,H5,,True,,,,,,True,,,,,,,,,,,,,,,,,,,0.9411764705882353,0.75,0.19117647058823528,,,,,,,,,,
3702,H6,,True,,,,,,False,,,,,,,,,,,,,,,,,,,,,,0.0,False,"[0, 0, 0, 0, 0]",,,,,,,
3703,H3,,True,,,,,,False,,,,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,
3703,H4b,,False,,,,,,False,,,,,,,,,,,"{'lower_ms': 1000.0, 'upper_ms': 2000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 1000.0, 'upper_ms': 2000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 2000.0, 'upper_ms': 5000.0, 'monotone': True, 'status': 'crossed'}","{'lower_ms': 2000.0, 'upper_ms': 5000.0, 'monotone': True, 'status': 'crossed'}",False,False,False,False,,,,,,,,,,,,,
3703,H5,,True,,,,,,False,,,,,,,,,,,,,,,,,,,1.0,0.9166666666666666,0.08333333333333337,,,,,,,,,,
3703,H6,,True,,,,,,False,,,,,,,,,,,,,,,,,,,,,,0.0,False,"[0, 0, 0, 0, 0]",,,,,,,
