seed,case,initial,early,late,D,initial_usable,decrement,plateau,half_trial
3701,fast12,8.0,5.666666666666667,0.0,1.0,True,True,True,3
3701,slow12,8.0,6.0,3.0,0.5,True,True,False,3
3701,strong12,11.0,8.0,1.3333333333333333,0.8333333333333334,True,True,True,3
3701,fast24,8.0,5.666666666666667,0.0,1.0,True,True,True,3
3701,cycle2,8.0,5.333333333333333,0.0,1.0,True,True,True,3
3701,cycle3,8.0,5.333333333333333,0.0,1.0,True,True,True,3
3702,fast12,9.0,5.666666666666667,0.3333333333333333,0.9411764705882353,True,True,True,3
3702,slow12,9.0,7.0,4.0,0.4285714285714286,True,True,True,7
3702,strong12,11.0,8.0,2.0,0.75,True,True,True,3
3702,fast24,9.0,5.666666666666667,0.0,1.0,True,True,True,3
3702,cycle2,8.0,5.333333333333333,0.3333333333333333,0.9375,True,True,True,3
3702,cycle3,8.0,5.333333333333333,0.3333333333333333,0.9375,True,True,True,3
3703,fast12,8.0,5.333333333333333,0.0,1.0,True,True,True,3
3703,slow12,8.0,5.666666666666667,4.0,0.2941176470588236,True,False,True,3
3703,strong12,11.0,8.0,0.6666666666666666,0.9166666666666666,True,True,True,3
3703,fast24,8.0,5.333333333333333,0.0,1.0,True,True,True,3
3703,cycle2,9.0,5.666666666666667,0.0,1.0,True,True,False,3
3703,cycle3,9.0,5.666666666666667,0.0,1.0,True,True,False,3
