seed,phase,pulse,event_file,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV,both_reset_full_event_equivalence,bypass_full_event_equivalence
1701,naive_bypass,-1,s1701_naive_bypass.parquet,0.0,0,0,66,1.0,1.0,10,0.1,-52.0,0.0,2,66.7,-52.0,0.0,3,44.7,-52.0,0.0,,
1701,train,0,s1701_train00.parquet,0.0,2125,2100,2812,1.0,0.7668307925872346,8,19.700000000000003,-52.0,0.0,0,,-52.0,0.0,2,92.6,-52.0,0.0,,
1701,train,1,s1701_train01.parquet,0.5,2125,2100,2608,0.7890197763991423,0.6330216007969758,5,33.49999999999997,-51.99999769810012,9.23010021852744e-26,0,,-51.999998243316575,6.12860492798751e-27,0,,-51.999998574741184,1.3494098255978768e-26,,
1701,train,2,s1701_train02.parquet,1.0,2125,2100,2519,0.6679442127901658,0.5559853629475497,3,43.400000000000105,-52.00000030015215,-3.9494617481877366e-26,0,,-51.999997886412736,1.0420395441734804e-25,0,,-51.9999970789888,1.4295619371190408e-25,,
1701,train,3,s1701_train03.parquet,1.5,2125,2100,2446,0.5982389422392872,0.5114955742050321,2,51.00000000000016,-51.99999819816718,1.0076185026190083e-26,0,,-51.9999996588428,-7.649565694905374e-28,0,,-51.99999949282418,1.944175297642448e-28,,
1701,train,4,s1701_train04.parquet,2.0,2125,2100,2443,0.5579829166645423,0.48572396291898,1,88.30000000000027,-51.99999850002628,-7.651006224672431e-26,0,,-52.00000001335276,-4.4116871693208365e-28,0,,-51.9999999841961,1.2222545764730472e-34,,
1701,train,5,s1701_train05.parquet,2.5,2125,2100,2419,0.5346637984498446,0.4707513704460814,1,89.90000000000009,-51.99999816805417,-9.74620644899924e-26,0,,-52.000000008173465,-9.663468675517343e-29,0,,-51.99999998773022,7.410761255654617e-35,,
1701,train,6,s1701_train06.parquet,3.0,2125,2100,2389,0.5211160365353622,0.4620280103279184,1,90.10000000000008,-51.99999803310925,4.642496708847209e-26,0,,-52.00000002435487,-1.7176174530484398e-27,0,,-51.999999986708346,1.0205565080027181e-34,,
1701,train,7,s1701_train07.parquet,3.5,2125,2100,2375,0.5132228138894457,0.4569316695733337,1,90.30000000000004,-51.9999980821198,4.418122724277288e-26,0,,-52.00000003046063,-3.391670597760702e-27,0,,-51.99999998657477,1.0622062092013892e-34,,
1701,train,8,s1701_train08.parquet,4.0,2125,2100,2374,0.508611454079636,0.4539464437578996,1,90.20000000000029,-51.99999795176864,5.613311886905001e-26,0,,-52.00000003102868,-3.601584611994655e-27,0,,-51.99999998643985,1.10555566695086e-34,,
