name,input_hz,pulse_ms,response_ms,interval_ms,n_pulses,disagreement_rmse
f200_p400_gap800,200.0,400.0,500.0,1200.0,8,4.315334521700705
f200_p400_gap200,200.0,400.0,500.0,600.0,8,2.155672208085402
f150_p400_gap800,150.0,400.0,500.0,1200.0,8,2.0529279370905735
f100_p400_gap800,100.0,400.0,500.0,1200.0,8,1.877428293351437
f200_p200_gap200,200.0,200.0,300.0,400.0,8,1.7270608142885575
f100_p200_gap800,100.0,200.0,300.0,1000.0,8,1.6464889167522063
f100_p400_gap200,100.0,400.0,500.0,600.0,8,1.6352221447730226
f200_p200_gap800,200.0,200.0,300.0,1000.0,8,1.4218329459237975
f100_p200_gap200,100.0,200.0,300.0,400.0,8,1.2096964074582928
f100_p100_gap800,100.0,100.0,200.0,900.0,8,1.0134679747970186
f100_p100_gap200,100.0,100.0,200.0,300.0,8,0.913052212974559
f200_p100_gap800,200.0,100.0,200.0,900.0,8,0.8383555739316901
f150_p400_gap200,150.0,400.0,500.0,600.0,8,0.7605222044110468
f150_p200_gap200,150.0,200.0,300.0,400.0,8,0.7531959912492222
f200_p100_gap200,200.0,100.0,200.0,300.0,8,0.7316823979728535
f150_p200_gap800,150.0,200.0,300.0,1000.0,8,0.31457066188721416
f150_p100_gap200,150.0,100.0,200.0,300.0,8,0.18331567301918117
f150_p100_gap800,150.0,100.0,200.0,900.0,8,0.11244080196313859
