condition,model,seed,phase,pulse,rest_ms,onset_s,input_events,sensory_spikes,total_spikes,resource_before,resource_after,aBN1,aBN1_latency_ms,aBN1_v_before_mV,aBN1_g_before_mV,aDN1,aDN1_latency_ms,aDN1_v_before_mV,aDN1_g_before_mV,aDN2,aDN2_latency_ms,aDN2_v_before_mV,aDN2_g_before_mV
new_seed_control,std,2701,train,0,0.0,0.0,2060,2024,2699,1.0,0.7712590085118863,7,25.0,-52.0,0.0,0,,-52.0,0.0,2,74.30000000000001,-52.0,0.0
new_seed_control,std,2701,train,1,0.0,0.5,2060,2024,2487,0.7930265918629098,0.6388592240686101,5,30.49999999999997,-51.99999856087861,7.837469559295941e-27,0,,-51.99999899919709,3.4972233341107644e-29,0,,-51.99999863613153,6.571198663973912e-27
new_seed_control,std,2701,train,2,0.0,1.0,2060,2024,2409,0.673226312758738,0.5620674939077218,2,45.00000000000015,-51.99999887533526,2.2900762477095072e-26,0,,-51.99999885455714,6.000163596972286e-27,0,,-51.999998402509256,8.545447109094776e-27
new_seed_control,std,2701,train,3,0.0,1.5,2060,2024,2363,0.6037422819134458,0.517436474406551,1,78.79999999999998,-51.99999768260155,1.890597743139004e-26,0,,-52.00000000835696,-1.611770271617151e-28,0,,-51.9999999816952,2.6655123238501228e-34
new_seed_control,std,2701,train,4,0.0,2.0,2060,2024,2318,0.5633584654636938,0.4914429900708574,1,96.00000000000009,-51.99999780474972,4.209871825319373e-26,0,,-52.00000001619464,-2.2460053768206633e-28,0,,-51.99999999236948,1.1084173283968572e-35
new_seed_control,std,2701,train,5,0.0,2.5,2060,2024,2313,0.5398385882116268,0.4762722596877829,1,97.90000000000008,-51.99999774150693,7.35998900485607e-26,0,,-52.00000000100142,-4.432674835791508e-29,0,,-51.99999998196835,3.456816485374241e-34
new_seed_control,std,2701,train,6,0.0,3.0,2060,2024,2297,0.5261115437020859,0.4673992593365844,1,98.70000000000002,-51.99999801658748,3.831778544304591e-26,0,,-52.00000000457276,-1.362905981413952e-28,0,,-51.99999998017139,5.0548494750649375e-34
new_seed_control,std,2701,train,7,0.0,3.5,2060,2024,2297,0.5180829209740755,0.4621985454268703,1,99.09999999999997,-51.99999805027814,2.3801203653775712e-26,0,,-52.00000000869063,-3.6960002203444653e-28,0,,-51.99999997936218,5.931920810215951e-34
new_seed_control,std,2701,train,8,0.0,4.0,2060,2024,2291,0.5133771204280659,0.459143701486333,0,,-51.99999839938743,-2.7767231523105427e-26,0,,-52.00000001766816,-1.7875471998393057e-27,0,,-51.99999997894528,6.425973100178902e-34
new_seed_control,std,2701,train,9,0.0,4.5,2060,2024,2292,0.5106129833244074,0.4573454412439518,0,,-51.99999841635955,-3.202682294771211e-27,0,,-52.00000004227931,-5.155536325203281e-27,0,,-51.99999999999894,2.3905108152525527e-77
new_seed_control,std,2701,train,10,0.0,5.0,2060,2024,2288,0.5089858501697344,0.4562845861073297,0,,-51.99999854727792,-2.88764780679923e-26,0,,-52.00000004253816,-5.156361976324754e-27,0,,-51.99999999999894,8.892881854236753e-121
new_seed_control,std,2701,train,11,0.0,5.5,2060,2024,2289,0.5080259487470031,0.455657393397224,0,,-51.999998487461305,-1.0647896959185295e-26,0,,-52.00000004362436,-5.6985043587586246e-27,0,,-51.99999999999894,3.3082196143529352e-164
new_seed_control,std,2701,recovery,-1,1000.0,6.8,2060,2024,2396,0.6698395197075239,0.5594558216548715,2,45.70000000000008,-51.99999999999894,-2.3973794963357495e-96,0,,-52.00000000000032,-5.74016398197509e-99,0,,-51.99999999999894,4.008935209010589e-277
