condition,seed,phase,surrogate,n,mae,rmse,bias
f150_p400_gap800,2701,recovery,resource,2,0.21362578459977222,0.2907414003205154,-0.1972171037574224
f150_p400_gap800,2701,train,resource,8,0.33637123546116615,0.403096747391424,0.11779896527486527
f150_p400_gap800,2702,recovery,resource,2,1.611817227067248,1.632787056559106,-1.611817227067248
f150_p400_gap800,2702,train,resource,8,1.8221336068926401,1.854754479051394,-1.8221336068926401
f150_p400_gap800,2703,recovery,resource,2,1.2102937315276598,1.2281014803200605,-0.20838025191744336
f150_p400_gap800,2703,train,resource,8,0.8301682460285305,0.9396887137914236,0.6099402181295366
f150_p400_gap800,2701,recovery,accumulator,2,2.142933363719787,2.8356410021243,-2.142933363719787
f150_p400_gap800,2701,train,accumulator,8,1.677353768133667,1.8190233646542586,-1.4348341954678663
f150_p400_gap800,2702,recovery,accumulator,2,3.6129983460729322,3.8700814767550002,-3.6129983460729322
f150_p400_gap800,2702,train,accumulator,8,3.4211986722646976,3.5343912631627825,-3.4211986722646976
f150_p400_gap800,2703,recovery,accumulator,2,2.85316206876106,3.5706367630470597,-2.14683793123894
f150_p400_gap800,2703,train,accumulator,8,1.1758578834630171,1.3445838687593343,-0.9366127419726267
f200_p400_gap800,2701,recovery,resource,2,0.34428259975205755,0.46303566082144404,0.3096312560132066
f200_p400_gap800,2701,train,resource,8,0.9381252619768597,0.9785994633883605,-0.21259766611148068
f200_p400_gap800,2702,recovery,resource,2,0.6963729706969684,0.7777385672208017,-0.6963729706969684
f200_p400_gap800,2702,train,resource,8,1.716488632313267,1.8213612447174365,-1.716488632313267
f200_p400_gap800,2703,recovery,resource,2,1.5126840536923982,1.5374747173701642,1.5126840536923982
f200_p400_gap800,2703,train,resource,8,0.6040162545199679,0.6921948463407684,0.5437375522902754
f200_p400_gap800,2701,recovery,accumulator,2,4.388481025112952,4.6750143437424265,-4.388481025112952
f200_p400_gap800,2701,train,accumulator,8,4.010673965995243,4.382864087983814,-4.010673965995243
f200_p400_gap800,2702,recovery,accumulator,2,5.39108407012572,5.626046384501866,-5.39108407012572
f200_p400_gap800,2702,train,accumulator,8,5.511859663665085,5.807099096305552,-5.511859663665085
f200_p400_gap800,2703,recovery,accumulator,2,3.2999774946787728,3.7121325385800885,-3.2999774946787728
f200_p400_gap800,2703,train,accumulator,8,3.345360245220658,3.5818770001071307,-3.345360245220658
new_seed_control,2701,recovery,resource,2,0.3914298633463833,0.529261999064877,0.3914298633463833
new_seed_control,2701,train,resource,12,0.44780672735926164,0.4926969971145506,0.1932518687805844
new_seed_control,2702,recovery,resource,2,1.5252826916075177,1.5610554276310336,-1.5252826916075177
new_seed_control,2702,train,resource,12,0.5443651104366877,0.6327146216716937,-0.5129951207300962
new_seed_control,2703,recovery,resource,2,0.5448548636138373,0.641133123031865,-0.5448548636138373
new_seed_control,2703,train,resource,12,0.6656724166854922,0.7455871372581985,-0.5232581497214188
new_seed_control,2701,recovery,accumulator,2,0.9382758645836153,1.0983388421330667,-0.9382758645836153
new_seed_control,2701,train,accumulator,12,0.5077035677253694,0.6791394667157715,-0.06819748802578363
new_seed_control,2702,recovery,accumulator,2,2.9083601974383213,2.9689501112720147,-2.9083601974383213
new_seed_control,2702,train,accumulator,12,0.8338460090726327,0.898991198952346,-0.8054715446610462
new_seed_control,2703,recovery,accumulator,2,1.9153991779430926,2.004408435650772,-1.9153991779430926
new_seed_control,2703,train,accumulator,12,1.0129026629281572,1.0503200486476059,-0.8084658842762772
