pulse,actual,low,high,resource,accumulator,trial
0,8.333333333333334,7,9,7.773777445411984,7.631512691453254,1
1,5.333333333333333,5,6,4.65967692516954,5.152514435903481,2
2,2.6666666666666665,2,4,2.845987602132052,3.22186865324867,3
3,1.6666666666666667,1,2,1.7896721541617893,1.7182802058836002,4
4,1.3333333333333333,1,2,1.174460106527049,0.5472843456585661,5
5,1.0,1,1,0.8161521120716445,0.0,6
6,1.0,1,1,0.6074683627505474,0.0,7
7,1.0,1,1,0.4859278035481656,0.0,8
8,0.6666666666666666,0,1,0.41514067490415546,0.0,9
9,0.6666666666666666,0,1,0.3739130961969679,0.0,10
10,0.6666666666666666,0,1,0.34990145583751736,0.0,11
11,0.6666666666666666,0,1,0.3359166546048649,0.0,12
