trial,aBN1,resource,accumulator
1,8.333333333333334,7.773777445411984,7.6315126914532545
2,5.333333333333333,4.65967692516954,5.152514435903481
3,2.6666666666666665,2.845987602132052,3.22186865324867
4,1.6666666666666667,1.7896721541617893,1.7182802058836002
5,1.3333333333333333,1.174460106527049,0.5472843456585661
6,1.0,0.8161521120716445,0.0
7,1.0,0.6074683627505474,0.0
8,1.0,0.48592780354816567,0.0
9,0.6666666666666666,0.4151406749041554,0.0
10,0.6666666666666666,0.3739130961969679,0.0
11,0.6666666666666666,0.34990145583751736,0.0
12,0.6666666666666666,0.3359166546048649,0.0
